,equipe,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
47,trainee_47,,,,,,,,,,,,,,,,,,,,,,,INSPIRA MUNDANÇA PART.,F,F,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,,,,,,,,,,,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,F,F,INSPIRA MUNDANÇA PART.
48,trainee_48,,,,,,,,,,,,,,,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,,,,,,F,F,,,,,,,,,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,,,,,,,,F,F,
49,trainee_49,,,,,,,,,,,,,,,,,,,MRO,MRO,MRO,MRO,,F,F,,MRO,MRO,MRO,MRO,MRO,,,,,,,,,,,,,MRO,MRO,MRO,,,F,F,
50,trainee_50,,,,SAPURA,SAPURA,,,,,,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,,,,,,,SAPURA,SAPURA,F,F,SAPURA,SAPURA,,,,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,,,,,,,SAPURA,SAPURA,,,,,,F,F,
51,trainee_51,,,,,KATRIUM,KATRIUM,KATRIUM,,,,,,,,,KATRIUM,KATRIUM,KATRIUM,KATRIUM,,,,,F,F,,,,,,,,,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,,,,,,,,,,,F,F,
52,trainee_52,,,,,,,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,,,,,,,,,,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,,F,F,,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,,,,,,,,,,,,,,,,,,F,F,
53,trainee_53,,,,,,,,,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,,,,,,,,,,,,NATIONAL OIL,F,F,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,,,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,,,,,,,,,,,,,,F,F,
54,trainee_54,,,,,,,,,,,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,,,,,,F,F,,,,,,,,,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,,,,,,,,,,,F,F,
55,trainee_55,,,,,ENERFLEX,ENERFLEX,ENERFLEX,,,,,,,,,,,,ENERFLEX,ENERFLEX,ENERFLEX,ENERFLEX,,F,F,,ENERFLEX,ENERFLEX,ENERFLEX,ENERFLEX,ENERFLEX,,,,,,,,,,,,,,,,,,F,F,
56,trainee_56,,,,,,,FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),,,,,,,,,,,,,FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),F,F,FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),,,,FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),,,,,,,,,,,,,,F,F,
57,trainee_57,,,,,,,,,BRAMEX,BRAMEX,BRAMEX,,,,BRAMEX,BRAMEX,BRAMEX,BRAMEX,,,,,,F,F,,,,,,,,,,BRAMEX,BRAMEX,BRAMEX,BRAMEX,,,,,,,,,,,F,F,
58,trainee_58,PETRONAS,,,,,,,,,,PETRONAS,PETRONAS,PETRONAS,PETRONAS,,,,,PETRONAS,PETRONAS,PETRONAS,PETRONAS,,F,F,,,,PETRONAS,PETRONAS,PETRONAS,PETRONAS,,,,,,,,,,PETRONAS,,,,,,,F,F,
59,trainee_59,,,,,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,,,,,,,,,,,,,,,,SUPERMERCADO ZONA SUL,F,F,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,,,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,,,,,,,,,,,,,,,F,F,
60,trainee_60,,,PARANAÍBA (PTE),,,,PARANAÍBA (PTE),PARANAÍBA (PTE),PARANAÍBA (PTE),,,,,PARANAÍBA (PTE),PARANAÍBA (PTE),PARANAÍBA (PTE),PARANAÍBA (PTE),PARANAÍBA (PTE),,,,,,F,F,,,,,,,,,,PARANAÍBA (PTE),PARANAÍBA (PTE),PARANAÍBA (PTE),PARANAÍBA (PTE),,PARANAÍBA (PTE),,,,,,,,,F,F,
61,trainee_61,,,,,,,,,LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),,,,,,,,LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),,F,F,,,,LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),,,,,,,,,,,,,,,,,F,F,
62,trainee_62,,,,,,,,,,,TEEKAY,TEEKAY,TEEKAY,,,,,,,,,,TEEKAY,F,F,TEEKAY,TEEKAY,TEEKAY,,,TEEKAY,TEEKAY,TEEKAY,TEEKAY,,,,,,,,,,,,,,,F,F,
63,trainee_63,,,,,CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),,,,,,,,CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),,,,,,F,F,,,,,,,,,,CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),,,,,,,,,,,F,F,
64,trainee_64,,,,,,,DOMINOS (DP Brasil Participações),DOMINOS (DP Brasil Participações),DOMINOS (DP Brasil Participações),,,,,,,,,,DOMINOS (DP Brasil Participações),DOMINOS (DP Brasil Participações),DOMINOS (DP Brasil Participações),DOMINOS (DP Brasil Participações),,F,F,,,,DOMINOS (DP Brasil Participações),DOMINOS (DP Brasil Participações),DOMINOS (DP Brasil Participações),DOMINOS (DP Brasil Participações),,,,,,,,,,,,,,,,,F,F,
65,trainee_65,,,,,,,,,EDISON CHOUEST (BRAM) ,EDISON CHOUEST (BRAM) ,EDISON CHOUEST (BRAM) ,,,,,,,,,,,,EDISON CHOUEST (BRAM) ,F,F,EDISON CHOUEST (BRAM) ,EDISON CHOUEST (BRAM) ,EDISON CHOUEST (BRAM) ,,,EDISON CHOUEST (BRAM) ,EDISON CHOUEST (BRAM) ,EDISON CHOUEST (BRAM) ,EDISON CHOUEST (BRAM) ,,,,,,,,,,,,,,,F,F,
