,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
0,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,REDE DOR,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA
1,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,REDE DOR,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA
2,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,REDE DOR,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA
3,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,TIM,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR
4,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,TIM,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR
5,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,TIM,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR
6,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,GLOBO - GLOBO,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM
7,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,GLOBO - GLOBO,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM
8,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,GLOBO - GLOBO,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM
9,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,F,F,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,BROOKFIELD ENERGY (ELERA),GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,F,F,GLOBO - GLOBO
